,precision,recall,f1-score,support
Ad Hominem,0.5588235294117647,0.4222222222222222,0.48101265822784806,45.0
Appeal to Fear,0.6190476190476191,0.4482758620689655,0.52,29.0
Appeal to Ridicule,0.43333333333333335,0.2826086956521739,0.34210526315789475,46.0
False Dilemma,0.6,0.21428571428571427,0.3157894736842105,28.0
Hasty Generalization,0.375,0.11538461538461539,0.1764705882352941,26.0
Loaded Language,0.64,0.5217391304347826,0.5748502994011976,92.0
None of the above,0.8467741935483871,0.860655737704918,0.853658536585366,366.0
micro avg,0.7581818181818182,0.6598101265822784,0.7055837563451777,632.0
macro avg,0.5818540964773007,0.40931028253619883,0.4662695456131158,632.0
weighted avg,0.7252881771328377,0.6598101265822784,0.6823069686992816,632.0
samples avg,0.7123123123123124,0.6980480480480481,0.6980780780780782,632.0
